Ausgangsjahr,Gemeinde_BFS_Nr,Gemeindename,Stadtkreis_BFS_Nr,Stadtkreis_Name,Gesetz_Abk,Tatbestand,Straftaten_total,Straftaten_vollendet,Straftaten_versucht,Einwohner,Häufigkeitszahl
2009,261,Zürich,2610001.0,Kreis 1,StGB,Einbrüche insgesamt,380,267,113,5536.0,68.6
2009,261,Zürich,2610002.0,Kreis 2,StGB,Einbrüche insgesamt,485,334,151,29531.0,16.4
2009,261,Zürich,2610003.0,Kreis 3,StGB,Einbrüche insgesamt,735,516,219,46595.0,15.8
2009,261,Zürich,2610004.0,Kreis 4,StGB,Einbrüche insgesamt,647,460,187,27354.0,23.7
2009,261,Zürich,2610005.0,Kreis 5,StGB,Einbrüche insgesamt,407,299,108,12722.0,32.0
2009,261,Zürich,2610006.0,Kreis 6,StGB,Einbrüche insgesamt,513,360,153,30757.0,16.7
2009,261,Zürich,2610007.0,Kreis 7,StGB,Einbrüche insgesamt,521,360,161,35240.0,14.8
2009,261,Zürich,2610008.0,Kreis 8,StGB,Einbrüche insgesamt,411,262,149,15315.0,26.8
2009,261,Zürich,2610009.0,Kreis 9,StGB,Einbrüche insgesamt,702,445,257,47295.0,14.8
2009,261,Zürich,2610010.0,Kreis 10,StGB,Einbrüche insgesamt,584,398,186,36686.0,15.9
2009,261,Zürich,2610011.0,Kreis 11,StGB,Einbrüche insgesamt,1060,724,336,64283.0,16.5
2009,261,Zürich,2610012.0,Kreis 12,StGB,Einbrüche insgesamt,283,218,65,29185.0,9.7
2010,261,Zürich,2610001.0,Kreis 1,StGB,Einbrüche insgesamt,292,206,86,5607.0,52.1
2010,261,Zürich,2610002.0,Kreis 2,StGB,Einbrüche insgesamt,344,247,97,29421.0,11.7
2010,261,Zürich,2610003.0,Kreis 3,StGB,Einbrüche insgesamt,608,383,225,46108.0,13.2
2010,261,Zürich,2610004.0,Kreis 4,StGB,Einbrüche insgesamt,505,354,151,27056.0,18.7
2010,261,Zürich,2610005.0,Kreis 5,StGB,Einbrüche insgesamt,210,150,60,12714.0,16.5
2010,261,Zürich,2610006.0,Kreis 6,StGB,Einbrüche insgesamt,398,277,121,30203.0,13.2
2010,261,Zürich,2610007.0,Kreis 7,StGB,Einbrüche insgesamt,396,274,122,34843.0,11.4
2010,261,Zürich,2610008.0,Kreis 8,StGB,Einbrüche insgesamt,234,155,79,15431.0,15.2
2010,261,Zürich,2610009.0,Kreis 9,StGB,Einbrüche insgesamt,610,393,217,46875.0,13.0
2010,261,Zürich,2610010.0,Kreis 10,StGB,Einbrüche insgesamt,418,301,117,36474.0,11.5
2010,261,Zürich,2610011.0,Kreis 11,StGB,Einbrüche insgesamt,904,584,320,63092.0,14.3
2010,261,Zürich,2610012.0,Kreis 12,StGB,Einbrüche insgesamt,299,200,99,28991.0,10.3
2011,261,Zürich,2610001.0,Kreis 1,StGB,Einbrüche insgesamt,315,217,98,5576.0,56.5
2011,261,Zürich,2610002.0,Kreis 2,StGB,Einbrüche insgesamt,333,222,111,29809.0,11.2
2011,261,Zürich,2610003.0,Kreis 3,StGB,Einbrüche insgesamt,564,376,188,46971.0,12.0
2011,261,Zürich,2610004.0,Kreis 4,StGB,Einbrüche insgesamt,458,326,132,27398.0,16.7
2011,261,Zürich,2610005.0,Kreis 5,StGB,Einbrüche insgesamt,243,178,65,12777.0,19.0
2011,261,Zürich,2610006.0,Kreis 6,StGB,Einbrüche insgesamt,356,252,104,31131.0,11.4
2011,261,Zürich,2610007.0,Kreis 7,StGB,Einbrüche insgesamt,366,235,131,35362.0,10.4
2011,261,Zürich,2610008.0,Kreis 8,StGB,Einbrüche insgesamt,215,153,62,15212.0,14.1
2011,261,Zürich,2610009.0,Kreis 9,StGB,Einbrüche insgesamt,573,396,177,47520.0,12.1
2011,261,Zürich,2610010.0,Kreis 10,StGB,Einbrüche insgesamt,447,312,135,36939.0,12.1
2011,261,Zürich,2610011.0,Kreis 11,StGB,Einbrüche insgesamt,681,475,206,64612.0,10.5
2011,261,Zürich,2610012.0,Kreis 12,StGB,Einbrüche insgesamt,309,199,110,29599.0,10.4
2012,261,Zürich,2610001.0,Kreis 1,StGB,Einbrüche insgesamt,376,257,119,5040.0,74.6
2012,261,Zürich,2610002.0,Kreis 2,StGB,Einbrüche insgesamt,583,356,227,29393.0,19.8
2012,261,Zürich,2610003.0,Kreis 3,StGB,Einbrüche insgesamt,841,555,286,45420.0,18.5
2012,261,Zürich,2610004.0,Kreis 4,StGB,Einbrüche insgesamt,637,438,199,26044.0,24.5
2012,261,Zürich,2610005.0,Kreis 5,StGB,Einbrüche insgesamt,411,303,108,12278.0,33.5
2012,261,Zürich,2610006.0,Kreis 6,StGB,Einbrüche insgesamt,627,461,166,30045.0,20.9
2012,261,Zürich,2610007.0,Kreis 7,StGB,Einbrüche insgesamt,528,352,176,34524.0,15.3
2012,261,Zürich,2610008.0,Kreis 8,StGB,Einbrüche insgesamt,285,197,88,14814.0,19.2
2012,261,Zürich,2610009.0,Kreis 9,StGB,Einbrüche insgesamt,693,500,193,48315.0,14.3
2012,261,Zürich,2610010.0,Kreis 10,StGB,Einbrüche insgesamt,763,495,268,36003.0,21.2
2012,261,Zürich,2610011.0,Kreis 11,StGB,Einbrüche insgesamt,790,510,280,64085.0,12.3
