"Jahr","KreisSort","KreisCd","KreisLang","AnzBestWir"
2009,1,"1","Kreis 1",5576
2009,2,"2","Kreis 2",29809
2009,3,"3","Kreis 3",46971
2009,4,"4","Kreis 4",27398
2009,5,"5","Kreis 5",12777
2009,6,"6","Kreis 6",31131
2009,7,"7","Kreis 7",35362
2009,8,"8","Kreis 8",15212
2009,9,"9","Kreis 9",47520
2009,10,"10","Kreis 10",36939
2009,11,"11","Kreis 11",64612
2009,12,"12","Kreis 12",29599
2010,1,"1","Kreis 1",5563
2010,2,"2","Kreis 2",29878
2010,3,"3","Kreis 3",46699
2010,4,"4","Kreis 4",27429
2010,5,"5","Kreis 5",12764
2010,6,"6","Kreis 6",31464
2010,7,"7","Kreis 7",35447
2010,8,"8","Kreis 8",15518
2010,9,"9","Kreis 9",48494
2010,10,"10","Kreis 10",36879
2010,11,"11","Kreis 11",65796
2010,12,"12","Kreis 12",29537
2011,1,"1","Kreis 1",5550
2011,2,"2","Kreis 2",30079
2011,3,"3","Kreis 3",46943
2011,4,"4","Kreis 4",27453
2011,5,"5","Kreis 5",12924
2011,6,"6","Kreis 6",31556
2011,7,"7","Kreis 7",35616
2011,8,"8","Kreis 8",15501
2011,9,"9","Kreis 9",49813
2011,10,"10","Kreis 10",37192
2011,11,"11","Kreis 11",67945
2011,12,"12","Kreis 12",29510
2012,1,"1","Kreis 1",5571
2012,2,"2","Kreis 2",30085
2012,3,"3","Kreis 3",47926
2012,4,"4","Kreis 4",27749
2012,5,"5","Kreis 5",13167
2012,6,"6","Kreis 6",31750
2012,7,"7","Kreis 7",35603
2012,8,"8","Kreis 8",15444
2012,9,"9","Kreis 9",50437
2012,10,"10","Kreis 10",37328
2012,11,"11","Kreis 11",69496
2012,12,"12","Kreis 12",29456
2013,1,"1","Kreis 1",5565
2013,2,"2","Kreis 2",30503
2013,3,"3","Kreis 3",48333
2013,4,"4","Kreis 4",28115
2013,5,"5","Kreis 5",13636
2013,6,"6","Kreis 6",32328
2013,7,"7","Kreis 7",36116
2013,8,"8","Kreis 8",15912
2013,9,"9","Kreis 9",50261
2013,10,"10","Kreis 10",37416
2013,11,"11","Kreis 11",70748
2013,12,"12","Kreis 12",29642
2014,1,"1","Kreis 1",5616
2014,2,"2","Kreis 2",31156
2014,3,"3","Kreis 3",48808
2014,4,"4","Kreis 4",28645
2014,5,"5","Kreis 5",14143
2014,6,"6","Kreis 6",32682
2014,7,"7","Kreis 7",36556
2014,8,"8","Kreis 8",16178
2014,9,"9","Kreis 9",50685
2014,10,"10","Kreis 10",37543
2014,11,"11","Kreis 11",72228
2014,12,"12","Kreis 12",30543
2015,1,"1","Kreis 1",5617
2015,2,"2","Kreis 2",31603
2015,3,"3","Kreis 3",49195
2015,4,"4","Kreis 4",28701
2015,5,"5","Kreis 5",15065
2015,6,"6","Kreis 6",32867
2015,7,"7","Kreis 7",37053
2015,8,"8","Kreis 8",16192
2015,9,"9","Kreis 9",51328
2015,10,"10","Kreis 10",38199
2015,11,"11","Kreis 11",72831
2015,12,"12","Kreis 12",31753
2016,1,"1","Kreis 1",5648
2016,2,"2","Kreis 2",32162
2016,3,"3","Kreis 3",49500
2016,4,"4","Kreis 4",28630
2016,5,"5","Kreis 5",15423
2016,6,"6","Kreis 6",33270
2016,7,"7","Kreis 7",37139
2016,8,"8","Kreis 8",16213
2016,9,"9","Kreis 9",52898
2016,10,"10","Kreis 10",39564
2016,11,"11","Kreis 11",73413
2016,12,"12","Kreis 12",31822
2017,1,"1","Kreis 1",5728
2017,2,"2","Kreis 2",33593
2017,3,"3","Kreis 3",50042
2017,4,"4","Kreis 4",28775
2017,5,"5","Kreis 5",15666
2017,6,"6","Kreis 6",33614
2017,7,"7","Kreis 7",37458
2017,8,"8","Kreis 8",16541
2017,9,"9","Kreis 9",54716
2017,10,"10","Kreis 10",40341
2017,11,"11","Kreis 11",74809
2017,12,"12","Kreis 12",32027
2018,1,"1","Kreis 1",5750
2018,2,"2","Kreis 2",34877
2018,3,"3","Kreis 3",50569
2018,4,"4","Kreis 4",28729
2018,5,"5","Kreis 5",15579
2018,6,"6","Kreis 6",34321
2018,7,"7","Kreis 7",38191
2018,8,"8","Kreis 8",16788
2018,9,"9","Kreis 9",55765
2018,10,"10","Kreis 10",40341
2018,11,"11","Kreis 11",75344
2018,12,"12","Kreis 12",32483
2019,1,"1","Kreis 1",5791
2019,2,"2","Kreis 2",35035
2019,3,"3","Kreis 3",51122
2019,4,"4","Kreis 4",29368
2019,5,"5","Kreis 5",15750
2019,6,"6","Kreis 6",34794
2019,7,"7","Kreis 7",38584
2019,8,"8","Kreis 8",17060
2019,9,"9","Kreis 9",56637
2019,10,"10","Kreis 10",40832
2019,11,"11","Kreis 11",75804
2019,12,"12","Kreis 12",33231
2020,1,"1","Kreis 1",5831
2020,2,"2","Kreis 2",35552
2020,3,"3","Kreis 3",50756
2020,4,"4","Kreis 4",29034
2020,5,"5","Kreis 5",15622
2020,6,"6","Kreis 6",35317
2020,7,"7","Kreis 7",38629
2020,8,"8","Kreis 8",17456
2020,9,"9","Kreis 9",56462
2020,10,"10","Kreis 10",41044
2020,11,"11","Kreis 11",76188
2020,12,"12","Kreis 12",32845
2021,1,"1","Kreis 1",5817
2021,2,"2","Kreis 2",36025
2021,3,"3","Kreis 3",50104
2021,4,"4","Kreis 4",29023
2021,5,"5","Kreis 5",15804
2021,6,"6","Kreis 6",35355
2021,7,"7","Kreis 7",38663
2021,8,"8","Kreis 8",17818
2021,9,"9","Kreis 9",57077
2021,10,"10","Kreis 10",41017
2021,11,"11","Kreis 11",76975
2021,12,"12","Kreis 12",32654
2022,1,"1","Kreis 1",5860
2022,2,"2","Kreis 2",37049
2022,3,"3","Kreis 3",50582
2022,4,"4","Kreis 4",29672
2022,5,"5","Kreis 5",15888
2022,6,"6","Kreis 6",35862
2022,7,"7","Kreis 7",39301
2022,8,"8","Kreis 8",17814
2022,9,"9","Kreis 9",58517
2022,10,"10","Kreis 10",41505
2022,11,"11","Kreis 11",78034
2022,12,"12","Kreis 12",32953
2023,1,"1","Kreis 1",5890
2023,2,"2","Kreis 2",37639
2023,3,"3","Kreis 3",50950
2023,4,"4","Kreis 4",29944
2023,5,"5","Kreis 5",15874
2023,6,"6","Kreis 6",35688
2023,7,"7","Kreis 7",39647
2023,8,"8","Kreis 8",17860
2023,9,"9","Kreis 9",59841
2023,10,"10","Kreis 10",41411
2023,11,"11","Kreis 11",78801
2023,12,"12","Kreis 12",33537
